Theoretical Total Time,36.244578742980956
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,12.606809997558592,12.606809997558592
 , ,P2,12.606809997558592,20.486066246032713,7.879256248474121
 , ,P3,20.486066246032713,25.213619995117185,4.727553749084472
 , ,P4,25.213619995117185,26.78947124481201,1.575851249694824
 , ,P5,26.78947124481201,28.365322494506835,1.575851249694824
 , ,P6,28.365322494506835,29.94117374420166,1.575851249694824
 , ,P7,29.94117374420166,36.244578742980956,6.303404998779296
Real Total Time,37.11695909500122
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,12.960027933120728,12.960027933120728
 , ,P2,12.960520267486572,20.711931943893433,7.75141167640686
 , ,P3,20.71228313446045,25.479438543319702,4.767155408859253
 , ,P4,25.479740858078003,27.05826425552368,1.5785233974456787
 , ,P5,27.05859136581421,28.602694511413574,1.5441031455993652
 , ,P6,28.603074550628662,30.21422243118286,1.6111478805541992
 , ,P7,30.21452498435974,37.11695909500122,6.9024341106414795
Error (Real-Theoretical) Total Time,0.8723803520202651
 , ,Name,Start,End,Elapsed Time
 , ,P1,0.0,7987.039972066879,0.3532179355621352
 , ,P2,7987.039479732513,12979.288068056107,0.12784457206726074
 , ,P3,12979.28771686554,15974.52056145668,0.039601659774780806
 , ,P4,15974.520259141922,16972.941735744476,0.00267214775085467
 , ,P5,16972.941408634186,17971.397305488586,0.03174810409545881
 , ,P6,17971.39692544937,18969.785777568817,0.03529663085937518
 , ,P7,18969.78547501564,22962.883040905,0.5990291118621833
